"Metabolites","Pathways","Association","P-values"
"temp1.4","Succinate","Alanine, Aspartate And Glutamate Metabolism",-0.434823600295099,0.00185575706280685
"temp1.3","Aspartate","Alanine, Aspartate And Glutamate Metabolism",-0.268551556647957,2.3548208428166e-36
"temp1.5","Citric acid","Alanine, Aspartate And Glutamate Metabolism",0.043089068769843,0.0150016216260423
"temp1.6","Pyruvate","Alanine, Aspartate And Glutamate Metabolism",0.0461084725671203,7.8472638448355e-08
"temp1.7","5-Phosphoribosylamine","Alanine, Aspartate And Glutamate Metabolism",0.0488312712474231,0.00166076293130146
"temp1.2","Glutamine","Alanine, Aspartate And Glutamate Metabolism",0.377602464236484,8.09325368233023e-36
"temp1","Oxaloacetate","Alanine, Aspartate And Glutamate Metabolism",0.574765060973482,0.00108477167501329
"temp1.1","Asparagine","Alanine, Aspartate And Glutamate Metabolism",0.996658749802946,3.56322944573373e-17
"temp1.21","Aspartate","Aminoacyl-tRNA Biosynthesis",-0.359754252135491,1.53757529643818e-32
"temp1.9","Phenylalanine","Aminoacyl-tRNA Biosynthesis",-0.128558275928105,0.000322915619266606
"temp1.14","L-Tryptophan","Aminoacyl-tRNA Biosynthesis",-0.074898138260244,0.065858585416216
"temp1.41","Threonine","Aminoacyl-tRNA Biosynthesis",-0.0700230611293743,0.000132995606898641
"temp1.8","Serine","Aminoacyl-tRNA Biosynthesis",-0.0406876627307216,0.020027023808116
"temp1.31","L-methionine","Aminoacyl-tRNA Biosynthesis",-0.0377702507270871,0.662477690613322
"temp1.16","L-Tyrosine","Aminoacyl-tRNA Biosynthesis",-0.0298431060190715,0.0647515402182258
"temp1.12","L-Lysine","Aminoacyl-tRNA Biosynthesis",-0.0250473616329456,0.166363395607994
"temp1.15","L-Leucine","Aminoacyl-tRNA Biosynthesis",-0.0116980487227519,0.0845705994246959
"temp1.51","Glycine","Aminoacyl-tRNA Biosynthesis",-0.010961275896387,0.0256345556462271
"temp1.13","Proline","Aminoacyl-tRNA Biosynthesis",-0.0015779897708199,0.543255334024296
"temp1.10","Valine","Aminoacyl-tRNA Biosynthesis",0.0752173896732635,0.112283071928078
"temp1.17","Glutamine","Aminoacyl-tRNA Biosynthesis",0.330962939574555,3.30054980621105e-12
"temp1.11","Lysine","Aminoacyl-tRNA Biosynthesis",0.745976530916318,2.51031555516773e-12
"temp11","Asparagine","Aminoacyl-tRNA Biosynthesis",1.43048389082989,2.54153916601441e-18
"temp1.71","Arginine","Aminoacyl-tRNA Biosynthesis",2.10000416482428,1.33663246317323e-17
"temp1.61","Phosphoserine","Aminoacyl-tRNA Biosynthesis",7.34340546686688,0.211276437760572
"temp1.52","Beta-alanine","Aspartate Metabolism",-0.812202338204513,0.0773124508091236
"temp1.42","Aspartate","Aspartate Metabolism",-0.243049157393074,1.20257070436224e-28
"temp1.22","Glutamine","Aspartate Metabolism",0.348014390821956,1.24078718965285e-29
"temp1.32","Citrulline","Aspartate Metabolism",0.366991556176358,0.0389569083389035
"temp12","Oxaloacetate","Aspartate Metabolism",0.682800864120952,7.71240189318245e-05
"temp1.18","Asparagine","Aspartate Metabolism",0.855468292383698,8.35587650115778e-13
"temp1.62","Arginine","Aspartate Metabolism",1.18423989672668,5.29757144507e-11
"temp1.171","L-Homoserine","Biosynthesis Of Amino Acids",-1.70161509387647,0.0600034747734064
"temp13","Oxaloacetate","Biosynthesis Of Amino Acids",-0.480976122172057,0.0535570524954668
"temp1.43","Aspartate","Biosynthesis Of Amino Acids",-0.334370176219938,2.42507607660732e-26
"temp1.27","Anthranilic acid","Biosynthesis Of Amino Acids",-0.289983407801879,0.858067452597317
"temp1.19","Phenylalanine","Biosynthesis Of Amino Acids",-0.0833833161235353,0.0218513517600762
"temp1.81","Threonine","Biosynthesis Of Amino Acids",-0.0531561567706523,0.00429544848796945
"temp1.121","Ornithine","Biosynthesis Of Amino Acids",-0.0236240161974755,0.824933534505887
"temp1.141","Serine","Biosynthesis Of Amino Acids",-0.0230812515879297,0.192487980718573
"temp1.28","L-Tyrosine","Biosynthesis Of Amino Acids",-0.00888533206759636,0.586737988102346
"temp1.91","Glycine","Biosynthesis Of Amino Acids",-0.00705288601561797,0.15570150962273
"temp1.26","L-Leucine","Biosynthesis Of Amino Acids",-0.000593051870691765,0.931110787936742
"temp1.25","L-Tryptophan","Biosynthesis Of Amino Acids",-0.00047988121251517,0.990708432735562
"temp1.24","Proline","Biosynthesis Of Amino Acids",0.00215010207611606,0.410975532097769
"temp1.23","L-Lysine","Biosynthesis Of Amino Acids",0.00537713428323787,0.768644159911734
"temp1.151","L-Ornithine","Biosynthesis Of Amino Acids",0.0370126135438081,0.0453122104499815
"temp1.53","Citric acid","Biosynthesis Of Amino Acids",0.0425782717072818,0.0882028029513575
"temp1.72","L-methionine","Biosynthesis Of Amino Acids",0.0580976883944036,0.505149907825075
"temp1.63","Pyruvate","Biosynthesis Of Amino Acids",0.0656792076116195,4.9686654255486e-08
"temp1.211","Valine","Biosynthesis Of Amino Acids",0.0962491715535618,0.043371077878224
