"Query","Match","HMDB","PubChem","KEGG","Comment","pathway"
"Arachidonic acid","Arachidonic acid","HMDB01043","444899","C00219","1","Alpha Linolenic Acid and Linoleic Acid Metabolism"
"Docosahexaenoic acid","Docosahexaenoic acid","HMDB02183","445580","C06429","1","Alpha Linolenic Acid and Linoleic Acid Metabolism"
"Linoleic acid","Linoleic acid","HMDB00673","5280450","C01595","1","Alpha Linolenic Acid and Linoleic Acid Metabolism"
"L-Asparagine","L-Asparagine","HMDB00168","6267","C00152","1","Ammonia Recycling"
"L-Glutamine","L-Glutamine","HMDB00641","5961","C00064","1","Ammonia Recycling"
"Urea","Urea","HMDB00294","1176","C00086","1","Arginine and Proline Metabolism"
"Beta-Alanine","Beta-Alanine","HMDB00056","239","C00099","1","Beta-Alanine Metabolism"
"Carnosine","Carnosine","HMDB00033","439224","C00386","1","Beta-Alanine Metabolism"
"L-Aspartic acid","L-Aspartic acid","HMDB00191","5960","C00049","1","Beta-Alanine Metabolism"
"Uracil","Uracil","HMDB00300","1174","C00106","1","Beta-Alanine Metabolism"
"Caproic acid","Caproic acid","HMDB00535","8892","C01585","1","Beta Oxidation of Very Long Chain Fatty Acids"
"Dodecanoic acid","Dodecanoic acid","HMDB00638","3893","C02679","1","Beta Oxidation of Very Long Chain Fatty Acids"
"Citric acid","Citric acid","HMDB00094","311","C00158","1","Citric Acid Cycle"
"Isocitric acid","Isocitric acid","HMDB00193","1198","C00311","1","Citric Acid Cycle"
"Alpha-Lactose","Alpha-Lactose","HMDB00186","84571","C00243","1","Galactose Metabolism"
"D-Fructose","D-Fructose","HMDB00660","439709","C02336","1","Galactose Metabolism"
"Sorbitol","Sorbitol","HMDB00247","5780","C00794","1","Galactose Metabolism"
"Malic acid","Malic acid","HMDB00744","525","C00711","1","Gluconeogenesis"
"Pyroglutamic acid","Pyroglutamic acid","HMDB00267","7405","C01879","1","Glutathione Metabolism"
"Glycerol","Glycerol","HMDB00131","753","C00116","1","Glycerolipid Metabolism"
"Palmitic acid","Palmitic acid","HMDB00220","985","C00249","1","Glycerolipid Metabolism"
"Glyceric acid","Glyceric acid","HMDB00139","439194","C00258","1","Glycine and Serine Metabolism"
"Glycine","Glycine","HMDB00123","750","C00037","1","Glycine and Serine Metabolism"
"L-Alanine","L-Alanine","HMDB00161","5950","C00041","1","Glycine and Serine Metabolism"
"L-Arginine","L-Arginine","HMDB00517","6322","C00062","1","Glycine and Serine Metabolism"
"L-Cysteine","L-Cysteine","HMDB00574","5862","C00097","1","Glycine and Serine Metabolism"
"L-Glutamic acid","L-Glutamic acid","HMDB00148","33032","C00025","1","Glycine and Serine Metabolism"
"L-Methionine","L-Methionine","HMDB00696","6137","C00073","1","Glycine and Serine Metabolism"
"L-Serine","L-Serine","HMDB00187","5951","C00065","1","Glycine and Serine Metabolism"
"L-Threonine","L-Threonine","HMDB00167","6288","C00188","1","Glycine and Serine Metabolism"
"Ornithine","Ornithine","HMDB00214","6262","C00077","1","Glycine and Serine Metabolism"
"Pyruvic acid","Pyruvic acid","HMDB00243","1060","C00022","1","Glycine and Serine Metabolism"
"D-Glucose","D-Glucose","HMDB00122","5793","C00031","1","Glycolysis"
"Myoinositol","Myoinositol","HMDB00211",NA,"C00137","1","Inositol Metabolism"
"L-Pipecolic acid","L-Pipecolic acid","HMDB00716","439227","C00408","1","Lysine Degradation"
"D-Galactose","D-Galactose","HMDB00143","439357","C00124","1","Nucleotide Sugars Metabolism"
"L-Phenylalanine","L-Phenylalanine","HMDB00159","6140","C00079","1","Phenylalanine and Tyrosine Metabolism"
"Glycerol 3-phosphate","Glycerol 3-phosphate","HMDB00126","439162","C00093","1","Phospholipid Biosynthesis"
"Stearic acid","Stearic acid","HMDB00827","5281","C01530","1","Plasmalogen Synthesis"
"L-Valine","L-Valine","HMDB00883","6287","C00183","1","Propanoate Metabolism"
"Uric acid","Uric acid","HMDB00289","1175","C00366","1","Purine Metabolism"
"L-Lactic acid","L-Lactic acid","HMDB00190","107689","C00186","1","Pyruvate Metabolism"
"O-Phosphoethanolamine","O-Phosphoethanolamine","HMDB00224","1015","C00346","1","Sphingolipid Metabolism"
