"source","target","weight","absweight","interaction"
"1","Succinate","Alanine, Aspartate And Glutamate Metabolism",-0.434823600295099,0.434823600295099,1
"2","Aspartate","Alanine, Aspartate And Glutamate Metabolism",-0.268551556647957,0.268551556647957,1
"3","Citric acid","Alanine, Aspartate And Glutamate Metabolism",0.043089068769843,0.043089068769843,1
"4","Pyruvate","Alanine, Aspartate And Glutamate Metabolism",0.0461084725671203,0.0461084725671203,1
"5","5-Phosphoribosylamine","Alanine, Aspartate And Glutamate Metabolism",0.0488312712474231,0.0488312712474231,1
"6","Glutamine","Alanine, Aspartate And Glutamate Metabolism",0.377602464236484,0.377602464236484,1
"7","Oxaloacetate","Alanine, Aspartate And Glutamate Metabolism",0.574765060973482,0.574765060973482,1
"8","Asparagine","Alanine, Aspartate And Glutamate Metabolism",0.996658749802946,0.996658749802946,1
"9","Aspartate","Aminoacyl-tRNA Biosynthesis",-0.359754252135491,0.359754252135491,1
"10","Phenylalanine","Aminoacyl-tRNA Biosynthesis",-0.128558275928105,0.128558275928105,1
"11","L-Tryptophan","Aminoacyl-tRNA Biosynthesis",-0.074898138260244,0.074898138260244,1
"12","Threonine","Aminoacyl-tRNA Biosynthesis",-0.0700230611293743,0.0700230611293743,1
"13","Serine","Aminoacyl-tRNA Biosynthesis",-0.0406876627307216,0.0406876627307216,1
"14","L-methionine","Aminoacyl-tRNA Biosynthesis",-0.0377702507270871,0.0377702507270871,1
"15","L-Tyrosine","Aminoacyl-tRNA Biosynthesis",-0.0298431060190715,0.0298431060190715,1
"16","L-Lysine","Aminoacyl-tRNA Biosynthesis",-0.0250473616329456,0.0250473616329456,1
"17","L-Leucine","Aminoacyl-tRNA Biosynthesis",-0.0116980487227519,0.0116980487227519,1
"18","Glycine","Aminoacyl-tRNA Biosynthesis",-0.010961275896387,0.010961275896387,1
"19","Proline","Aminoacyl-tRNA Biosynthesis",-0.0015779897708199,0.0015779897708199,1
"20","Valine","Aminoacyl-tRNA Biosynthesis",0.0752173896732635,0.0752173896732635,1
"21","Glutamine","Aminoacyl-tRNA Biosynthesis",0.330962939574555,0.330962939574555,1
"22","Lysine","Aminoacyl-tRNA Biosynthesis",0.745976530916318,0.745976530916318,1
"23","Asparagine","Aminoacyl-tRNA Biosynthesis",1.43048389082989,1.43048389082989,1
"24","Arginine","Aminoacyl-tRNA Biosynthesis",2.10000416482428,2.10000416482428,1
